"","dateRep","day","month","year","cases","deaths","geoId","continentExp","countryterritoryCode","popData2018","countriesAndTerritories"
"201","30/04/2020",30,4,2020,16,1,"AL","Europe","ALB",2866376,"Albania"
"202","29/04/2020",29,4,2020,14,2,"AL","Europe","ALB",2866376,"Albania"
"203","28/04/2020",28,4,2020,10,0,"AL","Europe","ALB",2866376,"Albania"
"204","27/04/2020",27,4,2020,14,1,"AL","Europe","ALB",2866376,"Albania"
"205","26/04/2020",26,4,2020,34,0,"AL","Europe","ALB",2866376,"Albania"
"206","25/04/2020",25,4,2020,15,0,"AL","Europe","ALB",2866376,"Albania"
"207","24/04/2020",24,4,2020,29,0,"AL","Europe","ALB",2866376,"Albania"
"208","23/04/2020",23,4,2020,25,1,"AL","Europe","ALB",2866376,"Albania"
"209","22/04/2020",22,4,2020,25,0,"AL","Europe","ALB",2866376,"Albania"
"210","21/04/2020",21,4,2020,22,0,"AL","Europe","ALB",2866376,"Albania"
"211","20/04/2020",20,4,2020,14,0,"AL","Europe","ALB",2866376,"Albania"
"212","19/04/2020",19,4,2020,9,0,"AL","Europe","ALB",2866376,"Albania"
"213","18/04/2020",18,4,2020,21,0,"AL","Europe","ALB",2866376,"Albania"
"214","17/04/2020",17,4,2020,24,1,"AL","Europe","ALB",2866376,"Albania"
"215","16/04/2020",16,4,2020,19,1,"AL","Europe","ALB",2866376,"Albania"
"216","15/04/2020",15,4,2020,8,1,"AL","Europe","ALB",2866376,"Albania"
"217","14/04/2020",14,4,2020,21,0,"AL","Europe","ALB",2866376,"Albania"
"218","13/04/2020",13,4,2020,13,0,"AL","Europe","ALB",2866376,"Albania"
"219","12/04/2020",12,4,2020,17,0,"AL","Europe","ALB",2866376,"Albania"
"220","11/04/2020",11,4,2020,7,0,"AL","Europe","ALB",2866376,"Albania"
"221","10/04/2020",10,4,2020,9,1,"AL","Europe","ALB",2866376,"Albania"
"222","09/04/2020",9,4,2020,17,0,"AL","Europe","ALB",2866376,"Albania"
"223","08/04/2020",8,4,2020,6,0,"AL","Europe","ALB",2866376,"Albania"
"224","07/04/2020",7,4,2020,16,1,"AL","Europe","ALB",2866376,"Albania"
"225","06/04/2020",6,4,2020,28,2,"AL","Europe","ALB",2866376,"Albania"
"226","05/04/2020",5,4,2020,29,2,"AL","Europe","ALB",2866376,"Albania"
"227","04/04/2020",4,4,2020,27,1,"AL","Europe","ALB",2866376,"Albania"
"228","03/04/2020",3,4,2020,18,1,"AL","Europe","ALB",2866376,"Albania"
"229","02/04/2020",2,4,2020,16,0,"AL","Europe","ALB",2866376,"Albania"
"230","01/04/2020",1,4,2020,20,3,"AL","Europe","ALB",2866376,"Albania"
"231","31/03/2020",31,3,2020,11,2,"AL","Europe","ALB",2866376,"Albania"
"232","30/03/2020",30,3,2020,15,0,"AL","Europe","ALB",2866376,"Albania"
"233","29/03/2020",29,3,2020,11,1,"AL","Europe","ALB",2866376,"Albania"
